genreId,name
dnqxxk58,dinosaurs
6507qo2m,Diving
p236wx26,DLC
1np04e27,Dodge
oq27px2l,Dodge-em-up
dnqog958,Dodgeball
4n60rkn9,Dogfight Simulator
q4n6yl59,Dōjin soft
75mz8e23,Dokidoki ☆ ki ~yu ~ to Action
65j80v2k,doom clone
l28w0m2r,Doom-like
p23x4326,door
72yogy5d,DOS
q5wp7gng,Downhill
d5ovo32w,Downhill Racing
75mrp8n3,Drag racing
r2lo8827,Dragon
4n4m6pn0,Dragon Ball
75mgee53,Dragon Escape
4n6w9k29,Drama
65jg0v5k,Drawing
rnvd1xnq,Drift
qdnq4r28,Drive
6506xo5m,Driver
oy5gjr5e,Driving
6509gr5m,Driving Simulation
75mgo853,driving simulator
1n99gdnm,Driving-Racing Action
rnvvwpnq,Driving/Racing
r2ro862z,Driving/Simulator
4n6ylr59,Dropper
1npzkv57,DRPG
rnvdmxnq,DS
92dd432l,Dungeon
g2zqz62l,Dungeon Crawl
el28xknr,Dungeon Crawler
9rnvoq2q,Dungeon Crawling
r2r9x62z,Dungeon Management
g2z80w2l,Dungeon management game
x5eovr24,Dungeon-Crawler
l2klrrn1,Dystopian
r2rv8mnz,EA Sports UFC
q5w3dm2g,Early Access
72yp1x2d,Early Childhood
g2zzl62l,Earthbound
l2kl4zn1,eat
q5w4gkng,Eat-'em-all
g2zqj42l,Eat-'Em-Up
75mrwen3,Ecchi
45xkj8nd,Ecology Sim
1npv8kn7,Economic
4n6ky729,Economic Simulation
p23oqk26,Economical strategy
x5eox124,economy
45x4j62d,Economy management
dnqjzm28,Editor
45xw1xnd,EDP445
92dp6r2l,EDP445 Simulator Speedrun
1n9x7pnm,EDP445 Speedrun
x5eq1d54,EDP445Simulator
yq5wvrng,Education
mr2rk65z,Educational
1n9qdx2m,Educational/adventure
dnqyx928,Edutainment
g2zo6rnl,Egglike
72yo8o5d,Eggwars
x5e7d8n4,Ego Shooter
4n63o0n9,Ego-Shooter
72yo7d5d,Einzelspieler
72yzywnd,Electronic action and adventure game
r2l61p27,Electronic role-playing game
650rzr5m,Electronic RPG
650ryr5m,Elephant
72ymox2d,emergency
q5wyw8ng,Emotional
o75m68n3,Endless
r2ro7p2z,Endless Runner
rnvx192q,Endurance
dnqer9n8,English
92dm8x2l,Enigma
x5eygmn4,Énigmes
dnqekmn8,Entertainment
4n4xvj20,Epic
x5eo4r24,Epic War
d5ol305w,Episodic
l28lzynr,Eroge
m2117z24,Escape
y5ggrk5e,Escape game
72yz3wnd,Escape Room
p231oxn6,Espionage
r2lrr127,Esport
r2rk365z,esports
y5ggpd5e,Exercise
rnvx7q2q,Exergaming
650kxonm,Expedition
rnvxg92q,Experience
6507m62m,Experimental
oy5ggp5e,Exploration
x5eqgm54,Exploratory
650kexnm,Explore
x5exm724,Exploriation
1npv3wn7,extreme
q2717x2l,Extreme scooting
d1np8y57,Extreme Sports
m21dy924,F1
4n6wer29,F2P
1n9xkdnm,Famicom
75mv8853,Family
75ml0en3,Family Friendly
r2r97p2z,fan game
p23m4mn6,Fan Games
r2rv93nz,Fan Made
92dk1rnl,Fancy
r2roy82z,Fangame
4n66pln9,Fanmade
d5ovyp2w,Fanmande Map
dnqe6rn8,Fantastic
el28lrnr,Fantasy
1np8dv57,Fantasy Adventure
l28wjo2r,Fantasy violence
92dvo32l,"Fantasy, Action, Adventure, Indie, 2D"
q5wpk8ng,farbenfroh
q27kpenl,Farm Simulation
qdnqkmn8,Farming
72yp8o2d,farming sim
4n4mqjn0,Farming Sim/RPG
d5oo7l5w,Fashion
x5e7rmn4,Fashion/ Simulator
65j8zl2k,Fast
4n600ln9,Fast Paced
72yprw2d,Fast paced platformer
wr2lw157,Fast-paced
92dk9znl,Female Protaganist
o75mdk53,Female Protagonist
x5eop824,FGC
qdnq8mn8,Fight
x5eqlm54,fight game
65jzzk2k,Fighter
el286onr,Fighting
m65jyv5k,Fighting Game
rnvzqx5q,Fighting Game/Mini-Games
l28lewnr,fighting games
y5gvq45e,Fighting Mecha
1np88y57,"Fighting, Action, Adventure"
45xq4mnd,"Fighting, Platform Fighter"
4n4eq850,"Fighting, Sports"
y5gv6x5e,"Fighting, ‎role-playing"
4n4m1jn0,Fighting-Game
4n4mwwn0,Fighting/RPG
4n4xgj20,Fightning
65jgy15k,find
m216rr54,Fire
o75m1x53,First Person
l28e9r2r,First Person Action
65j6zmnk,first person dungeon crawler
4n6k1o29,First Person Platformer
dnqyqr28,first person point and click adventure game
rnvj1xnq,First Person Puzzler
oy5goxne,First Person Shooter
y72y9w5d,First Person Shooter (FPS)
1npeyp57,"First Person Shooter, Survival Horror"
1npjvyn7,"First Person Shooter, Third Person Shooter"
l2kl06n1,First Person Shooting
pm21j424,First Person Shoter
d5o0035w,First Person Soda
l28mjr5r,First Person View
1n909qnm,"first person, dungeon crawler, rogue-like, rpg"
el289knr,First-person
x5exqr24,first-person action
m211qz24,First-person Adventure
p92dyy2l,First-person exploration
72yoqo5d,First-Person Platformer
x5e7p8n4,First-person puzzle
pm21pl24,First-person shooter
94n4ddn0,"First-person shooter, action, tactical shooter"
75mzwg23,"First-person shooter, action-adventure"
r2l6p427,First-Person-Platformer
dnqyr928,First-Person-Shooter
r2r9862z,Firstperson-Shooter
1n9elz2m,Fish
mr2r0m2z,Fishing
l28l3knr,Fitness
oq27xz5l,Fixed Shooter
g2zq642l,Flash
dnqy0r28,Flash Game
75mg6e53,Flash Games
92dd8x2l,Flash shame
l28e6w2r,Flight
g2z8go2l,Flight Combat Sim
4n63q0n9,Flight Sim
4n601rn9,Flight Simulation
y72yod5d,Flight Simulator
l2kjqr51,"Flight Simulator, Shooter"
q2718o2l,Flight-Combat-Sim
1npjokn7,flight-sim
m65j7l5k,Flipper
4n661on9,Flying
wr2ljwn7,FMV
m21pj424,FMV Adventure
l2ky1w51,FNAF
650kpwnm,Foddian
p23oxx26,Foddylike
q271612l,Folktale
g2zor0nl,Food
72y1d62d,Football
m21pvz24,Footygolf
65jg6k5k,Formula 1
1npvjkn7,Formula One
p23oj326,Formule 1
92dmrz2l,FP
92dmz32l,FPP
m65jk2k0,FPS
r2lw3p57,FPS / Puzzle
r2l8q457,FPS Shooter
65jjxm5k,FPS+Z
75mlq4n3,fps-platformer
l28mgk5r,FPS-Z
1n903vnm,FPV
rnv9dq2q,FR
d5ozvpnw,FRANCE
p92d9r5l,Free
45xqzxnd,Free Game
y45xwmnd,Free To Play
x5eyern4,Free-to-Play
45x41x2d,free-to-play mobile RPG
l2klvkn1,Free2Play
r2lro127,Freemium
g2zzy42l,freeroam
y5g7ek5e,fright shooting
q2741e2l,Fruit Fetching
l2kgez51,Fun
m216ql54,Fun :D
m21ogz54,Fun to play
1n998xnm,Funky
r2rom92z,Funny
92dm7z2l,Futuristic
75mvwk53,Futuristic Side-Scrolling Beat'em Up
1np0qv27,gambling
4n4y7wn0,Game
q27kk1nl,Game Boy
p23xxx26,Game Boy ROM
1npjren7,Game Compilation
r2r9y92z,Game creation system
1n9xzvnm,Game Engine
p236jd26,Game Jam
65j8vl2k,Game Jam Games
rnvv19nq,Game of the Year
l2866onr,Game show
1npzgv57,gameboy
q5wdzkng,GameJam
r2rzk35z,Gatcha
650rlo5m,Gay
65077w2m,Gem elimination
x5e7dmn4,Gemstone
65jjgk5k,Geography
r2rvepnz,Getting Over It
1n99lqnm,Getting over it like
1n9l6pnm,Ghost
l28w8y2r,Ghost Hunt
q5wdkrng,Giant Robot
g2z7ow5l,GLITCH
y5gjqx5e,GMTK
q5wyvzng,Go Kart
9rnv3q2q,God game
d5ovk82w,God Sim
92dv3x2l,Goi like
yq5wkm5g,Golf
q5w47gng,Golf Game
1npjjyn7,Golf video game
g2z8wr2l,Good Music
q27ygx2l,Goose
l286oknr,Gore
92dv6y2l,Gota.io
6507rx2m,Gothic
45xw9mnd,Government Simulation
d5oz0jnw,Grand Prix
4n6wok29,Grand Strategy
94n4oo20,Graphic Adventure
92dkexnl,Graphic adventure game
r2r9qp2z,Graphic Novel
l2klyen1,Graphical Adventure
dnqv6r28,Grapple
x5eqwd54,Grappling Hook
75mvkk53,Gravity
r2r0ep2z,Gravity Game
45xkvmnd,Great Big Game Thing
4n66kln9,Grid-Based Movement
4n464d20,Grimace
92dxdy5l,GTA
g2zowonl,Guitar
q5wkom5g,Gun
l2k6yen1,Gundam
l2kllen1,Guy Fierri
q27y442l,hack
75mj6853,Hack & Slay
75mz0e23,Hack 'n Slash
q5w4jzng,Hack 'n' Slash
pm211l24,Hack and slash
vx5erd24,Hack and Slash (Musou)
m21p0924,"Hack and Slash, Dungeon Crawler"
6506z45m,Hack and Slay
1npjmvn7,Hack n Slash
p92dzznl,Hack n' Slash
rnv9mk2q,Hack'n Slash
p23m6xn6,Hack'n'Slash
x5e471n4,Hack-and-Slash
650eg6nm,Hacking
q5wdomng,Halloween
1n9l1vnm,Halo
x5ex9124,Halo Fan Game
rnvjopnq,Hamster
1n9erd2m,Hand drawn
m21o6l54,Hand-Drawn
r2rkep5z,Handheld
