parentGameId,variableId,variableName,category,scopeType,scopeLevel,isSubcategory,defaultValue
pd0qj2w1,38dmmp08,Solo Games,w205wzod,global,,true,p12780kq
pd0qj2w1,ylqoo6w8,Team Games,wdm7wq3d,global,,true,rqv8ykw1
pd0qj2w1,68k7j6zl,Seasonal Parkour Maps,7dg7plgd,full-game,,true,z19p70jl
pd0qj2w1,onv5vg0l,Welcome Lobby,,global,,true,
pd0qj2w1,ylpy6jrl,Secret Room,5dwz0zld,global,,true,ln85x5jl
j1n84ww1,2lg3943n,Game Mode,,full-game,,true,0q5p6xrl
pdv29846,38dpvv08,Worlds (World Rush),02q4qv7d,full-game,,true,81p2j2vl
pdv29846,e8m511wn,Worlds (World Rush 100%),n2yvq0z2,full-game,,true,gq7pwopq
pdv29846,gnxj99xl,Any% Categories,wdmjwp5d,full-game,,true,xqk5dwdq
pdv29846,j84jy1j8,All Levels%,mkexo08d,global,,true,
pdv29846,rn1y56kn,100%,9d8y73wk,global,,true,
pdv29846,ylp7r36l,2-C HOW%,5dw1jlek,single-level,rw628l6d,true,klr9mool
pdv29846,yn2jprg8,1-1 Versions,5dw1jlek,single-level,495p3r4w,true,9qj99wel
pdv29846,r8r4oo0n,Achievements,02qe0py2,full-game,,false,21gm4vn1
pdv29846,6njze6vl,1-2 Versions,5dw1jlek,single-level,rdqyp3g9,true,81w99eol
pdv29846,kn0mx5zl,1-S Versions,5dw1jlek,single-level,xd1pk3yd,true,013ppwdl
9d3rnx0d,dloyord8,Subcategory,5dwggrgk,global,,true,xqkkk04q
9d3rnx0d,p854y95l,Version,,global,,false,
3dx2o2p1,wl30jxwl,Difficulty,,global,,true,4lxwp941
lde3qpj6,jlzpo60n,Survival,,global,,true,
lde3qpj6,9l7ykgql,Survival Mode,wdmv8oed,full-game,,true,
lde3qpj6,yn20g62l,Survival 15,5dw3qx52,full-game,,true,
lde3qpj6,6nj1rpjn,Survival 20,rkl510r2,full-game,,true,
lde3qpj6,kn0kweo8,Testaaaa,ndx36r5d,global,,true,lr3z2wml
lde3qpj6,ylpywkrl,Survival High,mke1w8j2,global,,true,
w6jlk02d,onv7210n,Low%,824j7g32,global,,true,8148vvvl
w6jlk02d,p85dxm7l,100%,rklnm762,full-game,,true,814rrk0q
lde3qvj6,38dpyv08,Old Patches,z27mn452,full-game,,true,klr94ejl
9d3rnggd,0nwom5dl,Ending,jdrl9g0d,global,,true,jqz7ew8l
9d3rnggd,onvj515n,Difficulty,jdrl9g0d,full-game,,true,gq7edod1
9d3rnggd,7896vzq8,Ending,jdzweqxd,full-game,,true,gq7edop1
9d3rnggd,2lgre4qn,Difficulty,jdzweqxd,global,,true,jqz7ew2l
9d3rnggd,wl30jzol,Difficulty,02qv9qzd,global,,true,21d7gnp1
9d3rnggd,7896zr58,Difficulty,5dwgly0k,global,,true,9qjnx3e1
9d3rnggd,onvjd90n,Ending,w20xwz82,global,,true,5lmkr48q
9d3rnggd,68k53x38,DIFFICULTY,w20xwz82,global,,true,klro502l
9d3rnggd,j84g0128,DIFFICULTY,xd15q542,global,,true,5q8wgdkq
pdv2vmo6,wl3erv9n,Ending,9kvg438k,full-game,,true,
pdv2vmo6,wleym3kn,Version,,global,,true,14ok85vq
9do8w371,wl314v98,Mode,824llywd,full-game,,false,
